Event Venue Name,Event Organizer Name,Event Name,Event Start Date,Event Start Time,Event End Date,Event Description,Timezone
1 John's Square Limerick County Limerick V94 RRH6 Ireland,Invictus Productions,De Mysteriis Dom Invicti: 20 Years of Invictus SOLD OUT,2019-10-26,17:00:00,2019-10-26,Invictus Productions in alliance with Bad Reputation IRL present  De Mysteriis Dom Invicti: 20 Years of Invictus Productions a Samhain Celebration at St. John's Church John's Square Limerick.  Featuring  NEGATIVE PLANE (USA) Malthusian (Irl) Possession - Band (Bel) Inconcessus Lux Lucis (UK) Sacrilegia (Irl)  This unique celebratory event will take place in a deconsecrated church and will be first time Negative Plane as well as the other acts will have ever performed in a church setting. Stained Glass Revelations brought to life.  Tickets are €35 will be limited to 150 ONLY and will be available from Thursday November 1st from www.invictusproductions.net.  Tickets will be printed and mailed to customers.  https://www.facebook.com/events/2176763695979376/,Europe/Dublin
Dublin Ireland,Dublin Events Concerts & Parties,Foo Fighters | Dublin,2019-08-21,17:00:00,2019-08-21,Foo Fighters announce two Irish shows for summer 2019.   They will head to Belfast on August 19 and Dublin on August 21.Tickets go on general sale at 10am on November 23 here: ► https://ticketmaster-uk.pxf.io/BXO4y ► https://www.eatmytickets.com/en/artist/foo-fighters/  https://www.facebook.com/events/328543324409720/,Europe/Dublin
RDS,MCD,Foo Fighters - Dublin,2019-08-21,16:00:00,2019-08-21,Dave Grohl Taylor Hawkins Nate Mendel Chris Shiflett Pat Smear and Rami Jaffee continue to sell out stadiums and arenas the world over. The band's current live show described by Rolling Stone as “explosive and euphoric… wild and combustible at the place where Grohl’s love for punk and classic rock coalesce into something raging and tuneful… a show of enthusiasm that has grown over decades” will be visiting the following cities and venues:  • 19 Aug Belfast N. Ireland @ Vital Festival (headline series) • 21 Aug Dublin Ireland @ RDS Arena  See foofighters.com for information regarding pre-sales and more. Support on the headline dates to be announced.  Having covered ground from Reykjavik to Las Vegas in 2017 the tireless Foo Fighters began 2018 with an Australia / New Zealand stadium tour and proceeded to play three-hour-plus rock marathons for capacity crowds over multiple nights at some of the world’s most prestigious venues: Madison Square Garden Fenway Park in Boston Wrigley Field in Chicago London Stadium—plus a return to Ullevi Stadium in Gothenburg— the site of the accident that led to the 2015 Broken Leg Tour. 2018 also marked the sophomore year of Foo Fighters’ own CalJam festival. CalJam '18 outdid its classic debut year with an all-hits Foo Fighters headline set a rare Iggy Pop reunion with the Joshua Homme-helmed Post Pop Depression band and an encore celebration of Nirvana--featuring an onstage reunion of Krist Novoselic Dave Grohl and Pat Smear with appearances from Joan Jett Brody Dalle of the Distillers and John McCauley of Deer Tick. SUBJECT TO LICENCE Tickets for Dublin from €79.50 including booking fees go on sale this Friday 23 November at 10am.  https://www.facebook.com/events/306572683282547/,Europe/Dublin
Boucher Road Playing Fields Belfast,Belfast Vital,VITAL 2019 - Foo Fighters,2019-08-19,16:00:00,2019-08-19,:: BELFAST VITAL 2019 :: Foo Fighters + special guests TBA Boucher Road Playing Fields Belfast August 19th 2019  Dave Grohl Taylor Hawkins Nate Mendel Chris Shiflett Pat Smear and Rami Jaffee continue to sell out stadiums and arenas the world over. The band’s current live show described by Rolling Stone as “explosive and euphoric… wild and combustible at the place where Grohl’s love for punk and classic rock coalesce into something raging and tuneful… a show of enthusiasm that has grown over decades” will be headlining this years Belfast Vital 2019 festival.  Having covered ground from Reykjavik to Las Vegas in 2017 the tireless Foo Fighters began 2018 with an Australia / New Zealand stadium tour and proceeded to play three-hour-plus rock marathons for capacity crowds over multiple nights at some of the world’s most prestigious venues: Madison Square Garden Fenway Park in Boston Wrigley Field in Chicago London Stadium—plus a return to Ullevi Stadium in Gothenburg— the site of the accident that led to the 2015 Broken Leg Tour. 2018 also marked the sophomore year of Foo Fighters’ own CalJam festival. CalJam ’18 outdid its classic debut year with an all-hits Foo Fighters headline set a rare Iggy Pop reunion with the Joshua Homme-helmed Post Pop Depression band and an encore celebration of Nirvana–featuring an onstage reunion of Krist Novoselic Dave Grohl and Pat Smear with appearances from Joan Jett Brody Dalle of the Distillers and John McCauley of Deer Tick.  SUBJECT TO LICENCE Tickets on sale this Friday 23 November at 10am.  https://www.facebook.com/events/1339530159541286/,Europe/Dublin
Boucher Road Playing Fields Belfast,Dublin Events Guide,Foo Fighters Live in Belfast,2019-08-19,15:00:00,2019-08-19,Foo Fighters are coming back to Ireland! They play Belfast Vital on Monday 19 August. Mon 19 Aug 2019 @ 4:00 pm | Boucher Playing Fields Belfast  General Onsale: Fri 23 Nov 2018 @ 10:00 AM  >>> Tickets: http://bit.ly/2DwWRDc  Support on the headline dates to be announced.  #FooFighters #FooFightersTickets #FooFightersLive #altrock #postgrunge #BelfastVital #EventsInBelfast  https://www.facebook.com/events/331425364355391/,Europe/Dublin
Belsonic,Belsonic,SLASH feat Myles Kennedy & The Conspirators + Blackberry Smoke,2019-06-12,17:00:00,2019-06-12,TICKETS ON SALE THIS FRIDAY 10AM!  BELSONIC IN ASSOCIATION WITH MAGNERS PRESENTS:  SLASH Featuring Myles Kennedy & The Conspirators  Blackberry Smoke & Screaming Eagles  WEDNESDAY 12TH JUNE 2019 ORMEAU PARK BELFAST  GATES 6PM | 16+ ID REQUIRED   SUBJECT TO LICENCE   Tickets priced £30+ booking fee go on sale this Friday November 30th @ 10am from Ticketmaster outlets and www.ticketmaster.ie   The most famous name is rock n roll singer-songwriter musician and lead guitarist in the world’s biggest band Guns N Roses SLASH is pleased to announce his largest Belfast headline show to date at Belsonic on Wednesday 12th June 2019 featuring Alter Bridge frontman Myles Kennedy & The Conspirators and supported on the night by Blackberry Smoke and Screaming Eagles. It’s been four years since we last heard new music from SLASH. But the guitarist has hardly spent that time relaxing—far from it in fact. First there was an 18-month 20-country world tour in support of the second SLASH FT MYLES KENNEDY & THE CONSPIRATORS album 2014’s World On Fire which saw the band play to packed houses everywhere from the U.S. to the U.K. Europe to Australia South America to Southeast Asia. Then almost immediately after the tour wrapped in Las Vegas on New Year’s Eve 2015 it was announced to the world that the guitarist after roughly two decades away would be rejoining Guns N’ Roses in an historic reunion with Axl Rose and Duff McKagan. Since then SLASH and his Gn’R band mates have crisscrossed the globe on multiple arena and stadium jaunts playing to millions of fans the world over on what has been a record-breaking tour.   SLASH Featuring Myles Kennedy & The Conspirators. released their new album ‘Living The Dream’ in September of this year.     Tickets priced £30 + Booking Fee go on-sale Friday 30th November @ 10am from Ticketmaster Outlets nationwide.  https://www.facebook.com/events/259868034705508/,Europe/Dublin
Slane Castle Meath Ireland.,Dublin Events Concerts & Parties,Metallica :: Slane 2019,2019-06-08,12:00:00,2019-06-08,Metallica announced 2019 Worldwired Europe Tour dates!  More about the concert: http://bit.ly/Slane-MCD  https://www.facebook.com/events/289466121872591/,Europe/Dublin
Vicar Street,Ticketmaster Events,Dropkick Murphys - Vicar Street Dublin,2019-04-18,19:00:00,2019-04-18,DROPKICK MURPHYS Vicar St Dublin 17 & 18 April 2019  Celtic punk-rock legends Dropkick Murphys will return to Dublin for two nights at Vicar St on 17 & 18 April 2019.  As much as Dropkick Murphys love Boston they were determined to start their third decade with a bang. They wanted to take it to the next level. For that they knew they'd need to make a record that blew people away. To do that they'd need to focus. To do that they'd need to remove all distractions. To do that they'd need to go to...El Paso?  You heard that right! They packed up their gear and hit the road joining longtime producer Ted Hutt at a studio 30 miles east of El Paso. Sonic Ranch Studios whose property abuts the U.S./Mexico border is a place where the only cell service is the occasional bar that pops up from a Mexican carrier. This bold move this dedication this desolation – and this amazing studio – helped the band capture something magical on their new album 11 Short Stories Of Pain & Glory.  A look back at childhood life a snapshot of a clueless Masshole a stop-you-in-your tracks reflection on a terrorist tragedy...it’s all there across the record’s 11 tracks. There are moments of ass-kicking Celtic punk attitude ball-busting wisecracks tear-jerking confessions and the kind of upbeat words of wisdom that can be chanted loud and proud across arenas and stadiums worldwide. It’s real. It’s raw. It’s Dropkick Murphys.  11 Short Stories Of Pain & Glory represents a high-water mark for Dropkick Murphys as they invite listeners everywhere to once again take an active part in their story. “We’ve stayed true to what the band is and has always been. And we’re still expanding on our sound and lyrical content” offers Brennan.  “There is lots of messed up stuff going on in the world but you can't let it take you down” Casey continues. “The only way to survive in life is to enjoy it and make the most of it. That’s what this record is. There’s good times. There’s bad times. There’s happy times. There’s sad times. In just 40 minutes you feel all of that. We truly put our heart and soul into every record we’ve ever made. This is no exception. We wouldn’t let it go down any other way. We’ll break up before that happens.” 11 Short Stories Of Pain & Glory is the perfect way to kick off another 20 years of Dropkick Murphys. Hold your head high and crank it up.  Dropkick Murphys are:  Al Barr lead vocals  Tim Brennan guitars accordion mellotron whistles and vocals  Ken Casey lead vocals and bass guitar  Jeff DaRosa banjo bouzouki mandolin harmonica acoustic guitars and vocals  Matt Kelly drums percussion and vocals  James Lynch guitars and vocals  www.dropkickmurphys.com/  Tickets priced €32.50 go on sale Monday 8th October at 10am through www.ticketmaster.ie & usual outlets nationwide.  www.dropkickmurphys.com/  https://www.facebook.com/events/607749826320230/,Europe/Dublin
The Grand Social,Karl Leavey,Ulcerate/Malthusian/Zealot Cult,2019-04-17,19:00:00,2019-04-17,Ulcerate (Relapse) -  Irish Debut https://ulcerate.bandcamp.com/  Malthusian (Invictus) -  https://malthusian.bandcamp.com/  Zealot Cult (Blood Harvest) https://bloodharvestrecords.bandcamp.com/album/karmenian-crypt-12mlp  Poster to follow  The Grand Social Dublin €25  https://www.facebook.com/events/241528493219921/,Europe/Dublin
Vicar Street,Ticketmaster Events,Dropkick Murphys - Vicar Street Dublin,2019-04-17,19:00:00,2019-04-17,DROPKICK MURPHYS Vicar St Dublin 17 & 18 April 2019  Celtic punk-rock legends Dropkick Murphys will return to Dublin for two nights at Vicar St on 17 & 18 April 2019.  As much as Dropkick Murphys love Boston they were determined to start their third decade with a bang. They wanted to take it to the next level. For that they knew they'd need to make a record that blew people away. To do that they'd need to focus. To do that they'd need to remove all distractions. To do that they'd need to go to...El Paso?  You heard that right! They packed up their gear and hit the road joining longtime producer Ted Hutt at a studio 30 miles east of El Paso. Sonic Ranch Studios whose property abuts the U.S./Mexico border is a place where the only cell service is the occasional bar that pops up from a Mexican carrier. This bold move this dedication this desolation – and this amazing studio – helped the band capture something magical on their new album 11 Short Stories Of Pain & Glory.  A look back at childhood life a snapshot of a clueless Masshole a stop-you-in-your tracks reflection on a terrorist tragedy...it’s all there across the record’s 11 tracks. There are moments of ass-kicking Celtic punk attitude ball-busting wisecracks tear-jerking confessions and the kind of upbeat words of wisdom that can be chanted loud and proud across arenas and stadiums worldwide. It’s real. It’s raw. It’s Dropkick Murphys.  11 Short Stories Of Pain & Glory represents a high-water mark for Dropkick Murphys as they invite listeners everywhere to once again take an active part in their story. “We’ve stayed true to what the band is and has always been. And we’re still expanding on our sound and lyrical content” offers Brennan.  “There is lots of messed up stuff going on in the world but you can't let it take you down” Casey continues. “The only way to survive in life is to enjoy it and make the most of it. That’s what this record is. There’s good times. There’s bad times. There’s happy times. There’s sad times. In just 40 minutes you feel all of that. We truly put our heart and soul into every record we’ve ever made. This is no exception. We wouldn’t let it go down any other way. We’ll break up before that happens.” 11 Short Stories Of Pain & Glory is the perfect way to kick off another 20 years of Dropkick Murphys. Hold your head high and crank it up.  Dropkick Murphys are:  Al Barr lead vocals  Tim Brennan guitars accordion mellotron whistles and vocals  Ken Casey lead vocals and bass guitar  Jeff DaRosa banjo bouzouki mandolin harmonica acoustic guitars and vocals  Matt Kelly drums percussion and vocals  James Lynch guitars and vocals  www.dropkickmurphys.com/  Tickets priced €32.50 go on sale Monday 8th October at 10am through www.ticketmaster.ie & usual outlets nationwide.  www.dropkickmurphys.com/  https://www.facebook.com/events/1666638333441381/,Europe/Dublin
Dolans Pub,Bad Reputation IRL,The Black Dahlia Murder - Dolans Warehouse Limerick - 08/04/19,2019-04-08,19:00:00,2019-04-08,Bad Reputation IRL  by Arrangement With UTA presents:  The Black Dahlia Murder & Guests  Monday 8th April 2019 Dolans Warehouse Dolans Limerick Doors: 8pm Tickets: €20 (inc booking fee) On sale from Tuesday 20th Nov 2018 www.dolans.ie & www.ticketmaster.ie  https://www.facebook.com/events/255782978428353/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,The Black Dahlia Murder - Dublin - 7th April 2019,2019-04-07,17:30:00,2019-04-07,DME By Arrangement With UTA Presents  The Black Dahlia Murder Plus Guests  Voodoo Lounge Dublin Sunday 7th April 2019 6.30pm - 18+ €20 inc bkg fee from www.ticketmaster.ie & outlets nationwide www.tickets.ie & Sound Cellar  www.dme-promotions.com  https://www.facebook.com/events/574600189656295/,Europe/Dublin
